Problem_Size;Total_Iterations;LS_Iterations;Acceptance_Prob;Tabu_Size;CP_Limit_s;Empty_Factor_Init;Alpha_Decay;Execution_Time_s;Best_Cost;Solution_Valid;CP_Calls;CP_Successes;Run_ID
4;200;5000;0.15;10;15;0.2;0.995;0.0002067089080810547;0;True;0;0;Rezultati
4;200;5000;0.15;10;15;0.2;0.995;0.0002014636993408203;0;True;0;0;Rezultati
4;200;5000;0.15;10;15;0.2;0.995;0.0001990795135498047;0;True;0;0;Rezultati
9;200;5000;0.15;10;15;0.2;0.995;18.451627254486084;0;True;1;0;Rezultati
9;200;5000;0.15;10;15;0.2;0.995;18.560959577560425;0;True;1;0;Rezultati
9;200;5000;0.15;10;15;0.2;0.995;18.713504552841187;0;True;1;0;Rezultati
16;200;5000;0.15;10;15;0.2;0.995;58.07192087173462;0;True;1;0;Rezultati
16;200;5000;0.15;10;15;0.2;0.995;58.673874855041504;0;True;1;0;Rezultati
25;200;5000;0.15;10;15;0.2;0.995;144.0565996170044;0;True;1;0;Rezultati
9;200;5000;0.15;10;15;0.2;0.995;37.25246286392212;2;False;200;0;Rezultati
16;200;5000;0.15;10;15;0.2;0.995;58.043145179748535;90;False;200;0;Rezultati
