Kategorija;SR (%);Avg. LS Poteza;Avg. Vreme (s);Ukupni Uspesi;Ukupno Pokretanja
5% Fiksirano;100.00;2000;14.04;4;4
10% Fiksirano;100.00;2000;14.38;4;4
15% Fiksirano;100.00;2000;14.29;4;4
20% Fiksirano;100.00;2000;14.49;4;4
25% Fiksirano;100.00;2000;14.48;4;4
30% Fiksirano;100.00;2000;14.43;4;4
40% Fiksirano;100.00;2000;14.57;4;4
50% Fiksirano;100.00;2000;14.21;4;4
60% Fiksirano;100.00;2000;14.17;4;4
70% Fiksirano;100.00;500;3.54;4;4
80% Fiksirano;100.00;0;0.00;4;4
90% Fiksirano;100.00;0;0.00;4;4
100% Fiksirano;100.00;0;0.00;4;4
